the  #1  art. 这；那 adv. 更加（用于比较级，最高级前）
be  #2  vt. 是； 有，存在； 做，成为； 发生 n. (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝
and  #3  conj. 和，与；就；而且；但是；然后 n. (And)人名；(土、瑞典)安德
of  #4  prep. 关于；属于；…的；由…组成的
a  #5  art. 一；任一；每一
in  #6  prep. 按照（表示方式）；从事于；在…之内 adv. 进入；当选；（服装等）时髦；在屋里 adj. 在里面的；时髦的 n. 执政者；门路；知情者 n. (In)人名；(中)演(广东话·威妥玛)；(柬)殷(用于名字第一节)， 因；(日)寅 (名)
to  #7  adv. 向前；（门等）关上 prep. 到；向；（表示时间、方向）朝…方向 n. (To)人名；(柬)多；(中)脱(普通话·威妥玛)
have  #8  vt. 有；让；拿；从事；允许 aux. 已经 n. (Have)人名；(芬)哈韦；(德)哈弗
to  #9  adv. 向前；（门等）关上 prep. 到；向；（表示时间、方向）朝…方向 n. (To)人名；(柬)多；(中)脱(普通话·威妥玛)
it  #10  pron. [指无生命的东西、动物、植物]它；这；那 pron. 指已提到或将提及的事物、活动、经验、抽象观念等 pron. 在不分性别或情况不详时指代 pron. 作无人称动词的主语，表示天气、时日、距离、状态、温度等等 abbr. 信息技术information technology
I  #11  pron. 我 n. 碘元素；英语字母I
that  #12  pron. 那；那个 adv. 那么；那样 conj. 因为；以至于 adj. 那；那个 n. (That)人名；(德)塔特
for  #13  prep. 为，为了；因为；给；对于；至于；适合于 conj. 因为
you  #14  pron. 你；你们 n. (You)人名；(柬)尤；(东南亚国家华语)猷
he  #15  n. 男孩，男人；它（雄性动物） pron. 他 n. (He)人名；(日)户(姓)；(朝)海；(柬)赫
with  #16  prep. 用；随着；支持；和…在一起 n. (With)人名；(德、芬、丹、瑞典)维特
on  #17  adv. 向前地；作用中，行动中；继续着 prep. 向，朝……；关于；在……之上；在……时候 adj. 开着的；发生着的，正在进行中 n. (On)人名；(日)温(姓、名)；(缅、柬、印)翁
do  #18  n. 要求；规定；C大调音阶中的第一音 v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过 aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气） vi. 行，足够；生长 n. （英）多（人名Dorothea和Dorothy的昵称） n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情
say  #19  vt. 讲；说明；例如；声称；假设；指明 vi. 讲；表示；念；假定；背诵  n. (Say)人名；(土)萨伊；(法、老、柬)赛；(英)塞伊；(匈、罗)绍伊
this  #20  pron. 这；这个；这里 adj. 这；本；这个；今 adv. 这样地；这么 n. (This)人名；(法)蒂斯
they  #21  pron. 他们；它们；她们
at  #22  prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素） abbr. 密封的（airtight）；气温（air temperature）
but  #23  conj. 但是；而是；然而 adv. 仅仅，只 prep. 除…以外 n. (But)人名；(俄、罗)布特；(越)笔
we  #24  pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人 n. (We)人名；(缅)韦
his  #25  pron. 他的 n. (His)人名；(法)伊斯
from  #26  prep. 来自，从；由于；今后 n. (From)人名；(瑞典、丹、德)弗罗姆
that  #27  pron. 那；那个 adv. 那么；那样 conj. 因为；以至于 adj. 那；那个 n. (That)人名；(德)塔特
not  #28  adv. 表示否定，不 n. “非”（计算机中逻辑运算的一种）
by  #29  prep. 通过；被；依据；经由；在附近；在……之前 adv. 通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名
she  #30  pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等） n. 女人；雌性动物 n. (She)人名；(中)佘(普通话·威妥玛)
or  #31  conj. 或，或者；还是；要不然 n. (Or)人名；(中)柯(广东话·威妥玛)；(柬)奥；(土、匈、土库、阿塞、瑞典)奥尔
as  #32  conj. 因为；随着；虽然；依照；当…时 prep. 如同；当作；以…的身份 adv. 同样地；和…一样的
what  #33  pron. 什么；多么；多少 adj. 什么；多么；何等 adv. 到什么程度，在哪一方面 int. 什么；多么
go  #34  vi. 走；达到；运转；趋于 n. 去；进行；尝试 vt. 忍受；出产；以…打赌 [复数 goes 第三人称单数 goes 过去式 went 过去分词 gone 现在分词 going]
their  #35  pron. 他们的，她们的；它们的 n. (Their)人名；(英)蒂尔；(芬、瑞典)泰尔
can  #36  vt. 将…装入密封罐中保存 aux. 能； 能够； 可以； 可能 n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
who  #37  pron. 谁；什么人
get  #38  vt. 使得；获得；受到；变成 n. 生殖；幼兽 vi. 成为；变得；到达
if  #39  conj. （表条件）如果；即使；是否；（表假设）假如 n. 条件；设想
would  #40  aux. 将，将要；愿意 v. will的过去式
her  #41  pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船） n. （法）埃尔（人名）
all  #42  adj. 全部的 adv. 全然地；越发 n. 全部 pron. 全部 n. (All)人名；(瑞典)阿尔；(英)奥尔
my  #43  pron. 我的 int. 哎呀（表示惊奇等）；喔唷 n. (My)人名；(越)美；(老、柬)米
make  #44  vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成 vi. 开始；前进；增大；被制造 n. 制造；构造；性情 n. (Make)人名；(塞、南非)马克
about  #45  prep. 关于；大约 adj. 在附近的；四处走动的；在起作用的 adv. 大约；周围；到处 n. 大致；粗枝大叶；不拘小节的人 n. (About)人名；(法)阿布
know  #46  vt. 知道；认识；懂得 vi. 了解；熟悉；确信
will  #47  n. 意志；决心；情感；遗嘱；意图；心愿 vt. 决心要；遗赠；用意志力使 vi. 愿意；下决心 aux. 将；愿意；必须
as  #48  conj. 因为；随着；虽然；依照；当…时 prep. 如同；当作；以…的身份 adv. 同样地；和…一样的
up  #49  adv. 起来；上涨；向上 prep. 在…之上；向…的较高处 adj. 涨的；起床的；向上的 n. 上升；繁荣
one  #50  pron. 一个人；任何人 adj. 一的；唯一的 n. 一 num. 一；一个 n. (One)人名；(老)温
time  #51  n. 时间；时代；次数；节拍；倍数 vt. 计时；测定…的时间；安排…的速度 adj. 定时的；定期的；分期的 n. (Time)人名；(俄)季梅；(英)泰姆；(罗)蒂梅
there  #52  adv. 在那里；在那边；在那点上 int. 你瞧 n. 那个地方
year  #53  n. 年；年度；历年；年纪；一年的期间；某年级的学生
so  #54  adv. 如此，这么；确是如此 conj. 所以；因此 pron. 这样 n. (So)人名；(柬)索
think  #55  vt. 想；认为；想起；想像；打算 vi. 想；认为 n. 想；想法 adj. 思想的
when  #56  conj. 考虑到；既然；当…时；在…时；如果 adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时 pron. 那时；什么时侯 n. 时间，时候；日期；场合
which  #57  pron. 哪/那一个；哪/那一些 adj. 哪一个；哪一些
them  #58  pron. 他们；它们；她们 n. (Them)人名；(老)探
some  #59  adj. 一些；某个；大约；相当多的 pron. 一些；若干；其中的一部分；（数量不确切时用）有些人 adv. 非常；相当；稍微
me  #60  pron. 我（宾格） n. 自我；极端自私的人；自我的一部分 n. (Me)人名；(日)马(姓)；(朝)袂；(阿拉伯、柬、老)梅
people  #61  n. 人；人类；民族；公民 vt. 居住于；使住满人
take  #62  vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等） vi. 拿；获得 n. 捕获量；看法；利益，盈益；（入场券的）售得金额
out  #63  adv. 出现；在外；出局；出声地；不流行地 adj. 外面的；出局的；下台的 n. 出局 prep. 向；离去 vi. 出来；暴露 vt. 使熄灭；驱逐
into  #64  prep. 到…里；深入…之中；成为…状况；进入到…之内 n. (Into)人名；(芬、英)因托
just  #65  adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要 adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的 n. (Just)人名；(英)贾斯特；(法)朱斯特；(德、匈、波、捷、挪)尤斯特；(西)胡斯特
see  #66  vt. 看见；理解；领会；觉察；拜访 vi. 看；看见；领会 n. (See)人名；(英)西伊；(柬)塞；(德)泽
him  #67  pron. 他（宾格） n. (Him)人名；(东南亚国家华语)欣；(柬)亨；(中)谦(广东话·威妥玛)
your  #68  pron. 你的，你们的
come  #69  vi. 来；开始；出现；发生；变成；到达 vt. 做；假装；将满（…岁） int. 嗨！ n. (Come)人名；(英)科姆；(阿尔巴)乔梅
could  #70  aux. 能够 v. 能（can的过去式）
now  #71  adv. 现在；如今；立刻 adj. 现在的 n. 现在；目前 conj. 由于；既然
than  #72  conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后） prep. 比；超过 n. (Than)人名；(老、柬、德)坦；(缅)丹
like  #73  vt. 喜欢；想；愿意 vi. 喜欢；希望 prep. 像；如同 adj. 同样的；相似的 n. 爱好；同样的人或物 adv. 可能 conj. 好像
other  #74  adj. 其他的，另外的 pron. 另外一个
how  #75  adv. 如何；多少；多么 n. 方法；方式 conj. 如何 n. (How)人名；(英)豪
then  #76  adv. 然后；那么；于是；当时；此外 n. (Then)人名；(德)特恩
its  #77  pron. 它的 n. (Its)人名；(俄)伊茨
our  #78  pron. 我们的
two  #79  n. 两个 adj. 两个的 num. 二
more  #80  adv. 更多；此外；更大程度地 adj. 更多的；附加的 pron. 更多的数量 n. 更多 n. (More)人名；(英、法)莫尔；(意、西、以)莫雷
these  #81  pron. 这些 adj. 这些的
want  #82  vt. 需要；希望；应该；缺少 n. 需要；缺乏；贫困；必需品 vi. 需要；缺少
way  #83  n. 方法；道路；方向；行业；习惯 adv. 大大地；远远地 adj. 途中的 n. (Way)人名；(中)见 Wei；(英、缅)韦
look  #84  vt. 看；期待；注意；面向；看上去像 vi. 看；看起来；注意；面向 n. 看；样子；面容 n. (Look)人名；(瑞典)洛克；(英)卢克
first  #85  adv. 第一；首先；优先；宁愿 n. 第一；开始；冠军 adj. 第一的；基本的；最早的 num. 第一 n. (First)人名；(英)弗斯特；(捷)菲尔斯特
